name,age,gender,cc_num,category,amt,street,city,state,zip,job,unix_time,is_fraud,predicted_fraud
Vincent Waller,66,Male,4623560839669,misc_net,788.07,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,Administrator,1378593388,1,1
Connor Grant,44,Male,30042378430132,misc_net,714.25,0654 Kevin Turnpike Apt. 084,Northport,NY,11768,Tour manager,1381892484,1,1
Wesley Parker,39,Male,4713464490314802,grocery_pos,312.58,7452 Browning Port,Mc Intosh,SD,57641,"Designer, industrial/product",1373163172,1,1
Margaret Williams,94,Female,4509142395811241,grocery_pos,319.8,165 Jerry Meadows Suite 460,Surrency,GA,31563,"Engineer, technical sales",1378180240,1,1
Keith Sanders,21,Male,3545109339866548,grocery_pos,286.92,8030 Beck Motorway,Moorhead,MS,38761,Chartered public finance accountant,1386497838,1,1
Monica Tucker,21,Female,4653879239169997,grocery_pos,274.36,302 Christina Islands,Smiths Grove,KY,42171,"Therapist, sports",1375579493,1,1
Edward Hensley,34,Male,676275912597,shopping_net,957.9,24318 Dixon Mills,Elk Rapids,MI,49629,Chief Financial Officer,1385595299,1,1
Ashley Lopez,49,Female,3598215285024754,home,305.17,9333 Valentine Point,Bellmore,NY,11710,"Librarian, public",1376691954,0,1
Carlos Chung,48,Male,2266735643685262,shopping_pos,809.11,8957 Russell Key,Grant,AL,35747,Curator,1376408363,0,1
Susan Mills,68,Female,571844099986,shopping_net,1143.96,005 Cody Estates,Louisville,KY,40202,Engineering geologist,1372595234,1,1
Amy Flynn,70,Female,573283817795,grocery_pos,284.76,46095 Tara Fords,Jaffrey,NH,3452,"Surveyor, hydrographic",1382833342,1,1
Jennifer Banks,32,Female,2703186189652095,shopping_net,981.45,561 Perry Cove,Moravian Falls,NC,28654,"Psychologist, counselling",1374232354,1,1
Pamela Matthews,59,Female,5456712664803820,shopping_net,957.37,36659 Smith Club Apt. 080,Llano,NM,87543,Architectural technologist,1381504990,1,1
Christopher Odom,29,Male,4244953610136705533,shopping_net,992.26,81446 Nicole Highway Apt. 874,Richland,NJ,8350,Licensed conveyancer,1383429706,1,1
Joseph Bartlett,88,Male,4352307151555405069,grocery_pos,283.96,610 Pacheco Parkway,Falls Church,VA,22046,Armed forces training and education officer,1375231732,1,1
Danielle Yu,44,Female,30238755902988,gas_transport,11.17,5395 Colon Burgs Suite 037,Thrall,TX,76578,Press sub,1376106091,1,1
Benjamin Rogers,25,Male,3586955669388457,shopping_net,955.07,24191 Elizabeth Mill,Bolivar,PA,15923,"Administrator, local government",1381185608,1,1
Jennifer Jones,84,Female,583699482621,health_fitness,253.95,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,"Engineer, civil (contracting)",1381360746,0,1
William Fitzgerald,33,Male,4102003771126577611,shopping_net,1318.51,715 Courtney Pike Suite 932,Keller,TX,76248,Probation officer,1384792467,0,1
Lauren Moreno,79,Female,3528231451607350,shopping_pos,727.32,83719 Wilson Shore,Heislerville,NJ,8324,Exercise physiologist,1372635990,1,1
Brooke Rodriguez,32,Female,4104312520615374,grocery_pos,321.16,901 Todd Gardens Apt. 466,Mountain Center,CA,92561,"Therapist, music",1381462904,1,1
Tina Zimmerman,34,Female,378904938837132,misc_net,1081.21,3595 Susan Island Suite 063,Thomas,OK,73669,Barrister,1387131628,0,1
Brian Hogan,60,Male,4972228199573984,shopping_net,1082.1,3316 Cindy Land,Lane,OK,74555,Quantity surveyor,1385334705,1,1
Vincent Cain,74,Male,30570197515105,misc_net,856.3,64851 Cole Turnpike,Hartford,AL,36344,Jewellery designer,1382050647,1,1
Karen Sullivan,45,Female,30518196150127,shopping_net,1340.6,6313 Scott Trace,Rossville,IL,60963,"Buyer, retail",1372866472,0,1
Kayla Sutton,69,Female,213180742685905,grocery_pos,337.77,010 Weaver Land,Carlotta,CA,95528,"Therapist, occupational",1386632539,1,1
Edward Hensley,34,Male,676275912597,shopping_net,831.72,24318 Dixon Mills,Elk Rapids,MI,49629,Chief Financial Officer,1385591464,1,1
Philip Hart,25,Male,6592243974328236,shopping_net,2873.64,97405 Vazquez Plains,Montgomery,AL,36111,"Chemist, analytical",1377788023,0,1
Morgan James,57,Female,3550412175018089,grocery_pos,332.59,742 Sellers Ferry,Lexington,KY,40502,Software engineer,1378266196,1,1
Dalton Jones,62,Male,30242921189660,shopping_pos,835.04,3304 Hernandez Run,Afton,MI,49705,Technical brewer,1384383940,1,1
Ana Howell,36,Female,213112402583773,entertainment,464.3,4664 Sanchez Common Suite 930,Bradley,SC,29819,Research scientist (physical sciences),1376849616,1,1
Christine Leblanc,32,Female,4570636521433188,shopping_pos,853.68,5097 Jodi Vista Suite 811,Deltona,FL,32725,Commercial horticulturist,1379757768,1,1
Laura Johns,31,Female,38530489946071,home,270.06,95835 Garcia Rue,Arcadia,SC,29320,Animal technologist,1381617099,1,1
Derek Bentley,68,Male,3533177016567295,misc_pos,746.78,782 Lee Crossing Apt. 209,Weeping Water,NE,68463,Dealer,1373879119,0,1
Jamie Carr,48,Female,4169759661243568,shopping_pos,846.86,55363 Aaron Circle Suite 450,Lawn,PA,17041,Special educational needs teacher,1387032478,0,1
Juan Henry,56,Male,4710826438164847414,grocery_pos,359.29,9795 Lori Island Suite 346,Turner,MT,59542,Further education lecturer,1380837872,1,1
Mario Johns,85,Male,341283058448499,shopping_net,1044.98,62130 Miller Square Suite 785,Brinson,GA,39825,"Engineer, broadcasting (operations)",1378421933,1,1
Shannon Bell,43,Female,375082648741747,gas_transport,13.63,2918 David Spurs,Georgetown,MN,56546,"Research officer, trade union",1375842237,1,1
Melody Thompson,67,Female,4586260469584,gas_transport,19.23,0362 Anderson Wall,Mound City,MO,64470,Architect,1379119603,1,1
Tyler Wright,40,Male,340953839692349,grocery_net,11.42,615 Clarke Spring Apt. 172,Warren,MI,48088,"Doctor, hospital",1372306396,0,1
Ruth Fuller,53,Female,344342339068828,shopping_net,1113.91,37732 Joe Courts Apt. 752,Darien,GA,31305,Tax adviser,1381188667,1,1
Kyle Wright,52,Male,6597248210463122,grocery_pos,320.67,610 Samantha Park Suite 149,Whittemore,IA,50598,Optometrist,1381196656,1,1
Amanda Alexander,54,Female,3527063666782582,gas_transport,20.39,21810 James Mall,Camden,TX,75934,Colour technologist,1381892840,1,1
Steven Williams,72,Male,6011360759745864,entertainment,640.2,231 Flores Pass Suite 720,Edinburg,VA,22824,"Designer, multimedia",1375265297,0,1
Jennifer Jones,84,Female,583699482621,shopping_net,1104.35,5572 Kelly Plains Apt. 952,Waupaca,WI,54981,"Engineer, civil (contracting)",1377523060,1,1
Diana Jacobs,34,Female,4761403817546679245,misc_net,778.42,69608 Perez Mountain Apt. 006,Viola,AR,72583,Psychiatric nurse,1372568700,1,1
Gary Barnes,34,Male,6011492816282597,grocery_pos,273.42,2970 Flores Brooks,Smackover,AR,71762,Financial adviser,1386990166,1,1
Thomas Gibson,72,Male,348253506557335,grocery_pos,321.55,32745 Silva Springs Suite 040,Grand Bay,AL,36541,Armed forces logistics/support/administrative officer,1375694824,1,1
Morgan James,57,Female,3550412175018089,shopping_net,1113.85,742 Sellers Ferry,Lexington,KY,40502,Software engineer,1378338880,1,1
Justin Bell,33,Male,4710792708725663,gas_transport,9.36,954 Green Wall,Churubusco,IN,46723,"Research officer, trade union",1384838653,1,1
Mike Tran,95,Male,2358122155477959,grocery_net,9.69,17355 Mendoza Bypass Suite 059,Linthicum Heights,MD,21090,"Conservator, furniture",1375501758,1,1
Bruce Hall,63,Male,503851367360,shopping_pos,952.8,77686 Donald Bridge Apt. 711,Grifton,NC,28530,Forensic psychologist,1373395763,1,1
Dennis Davidson,61,Male,180098888332620,misc_net,790.54,08469 Trujillo Forge,Springville,NY,14141,"Scientist, research (maths)",1372111435,1,1
Benjamin Robinson,57,Male,4195740185974,shopping_net,1078.15,0701 John Ranch,Portland,OR,97210,"Engineer, building services",1374535875,1,1
Julian Price,43,Male,4312133045694601139,shopping_net,3344.72,086 Pierce Cove,Pikesville,MD,21208,Company secretary,1372011043,0,1
Alicia Hawkins,87,Female,4505383113689,misc_net,722.27,507 John Overpass Suite 424,Harwood,MD,20776,Quantity surveyor,1385421729,1,1
Wesley Parker,39,Male,4713464490314802,grocery_pos,309.7,7452 Browning Port,Mc Intosh,SD,57641,"Designer, industrial/product",1373251869,1,1
Spencer Williams,61,Male,6596735789587928,shopping_net,1183.42,1145 Tony Drive Suite 080,Watertown,MN,55388,Licensed conveyancer,1377991252,1,1
Rachel Lowe,38,Female,376445266762684,shopping_net,882.83,372 Jeffrey Course,Sutherland,NE,69165,Insurance broker,1375927667,1,1
